,ENGAGED_df6,prob,prob_d
8501,0,0.1645457993006256,0
35507,0,0.10080519806193684,0
77014,0,0.13139046654287348,0
67231,0,0.19214428825447052,0
76394,1,0.15229909087150398,0
76181,0,0.0926563309787703,0
19740,1,0.43321797230039805,1
66648,0,0.061518302986506256,0
25747,0,0.1407405218270363,0
77845,0,0.06638499370651478,0
39889,0,0.11589679078374739,0
55438,0,0.15469202037059018,0
77185,0,0.14718880021638997,0
68853,0,0.19253881327497302,0
54655,0,0.14441945647497323,0
74969,1,0.06935934356444139,0
71576,0,0.19118896031679378,0
5253,0,0.07719908241503502,0
70493,0,0.203845869711393,0
35445,0,0.07934372655421022,0
37224,1,0.16358782781587716,0
29916,0,0.1415078952557337,0
63669,0,0.14890822280812635,0
159,0,0.1649154778019651,0
74257,0,0.11470666655888412,0
76252,1,0.21596930335186815,0
10079,1,0.24608060759802286,0
61079,0,0.10314159137316385,0
75505,0,0.15591344945441324,0
5821,0,0.06433696078976993,0
29683,0,0.1301554919865603,0
80842,0,0.10869934526681536,0
63969,0,0.09430721962388876,0
18120,0,0.06354842604391626,0
46423,0,0.07847242662078656,0
37994,0,0.13642241385398227,0
46466,1,0.9999999772296017,1
41979,0,0.1056451551283668,0
14557,1,0.22225853611576857,0
30484,0,0.19324845489072223,0
56970,0,0.08602821259844941,0
71208,0,0.1500795439471596,0
15404,0,0.09331834742325437,0
46720,0,0.17596050933668891,0
51250,1,0.10367731755474757,0
52081,0,0.09064635487072709,0
73527,0,0.16836406641146623,0
48261,0,0.11364330178753232,0
75717,0,0.11686690566730915,0
29527,0,0.17222980851888364,0
11449,0,0.11805311553003016,0
55049,0,0.17367999030358278,0
15293,0,0.08159891279422915,0
51439,0,0.13804790748891946,0
17969,0,0.15362678113643574,0
74131,0,0.06844684138904962,0
9918,0,0.12679194105799624,0
28284,0,0.0739309930625674,0
55010,0,0.14257231445820412,0
52480,0,0.10731872894907556,0
64175,0,0.11108722140219697,0
525,0,0.12442526306950417,0
22760,0,0.8150012139795182,1
31089,1,0.1504187829755565,0
78606,0,0.14555272772661257,0
26909,0,0.10704129385976305,0
70632,0,0.22193722101602212,0
19947,0,0.05942730528086928,0
77317,0,0.15687951916651682,0
35364,0,0.12866512003370298,0
47342,0,0.07035397119260023,0
17147,1,0.9391580675431247,1
17294,0,0.10494687136257498,0
5756,0,0.09703070990199605,0
54101,1,0.05943725049982074,0
54121,0,0.08800358291188864,0
29080,1,0.128817456344125,0
68266,0,0.10951910712068555,0
9540,0,0.10089849516571069,0
68884,0,0.0884159424012165,0
62029,0,0.06921307577770239,0
62701,1,0.35419122762999056,1
59428,1,0.7017763861747003,1
8938,0,0.15267172803553816,0
41798,0,0.17569699177495351,0
66573,0,0.05926879088972641,0
15101,0,0.16301873691174845,0
43065,0,0.06786709223882928,0
71995,0,0.09565050648910285,0
58047,0,0.1309389921007,0
52451,0,0.08677313000802449,0
46643,0,0.06415740952904324,0
72180,0,0.121076416122101,0
1376,0,0.15154126844760613,0
58373,0,0.07086954131060973,0
71001,1,0.11879146782251443,0
36116,0,0.09585874561398433,0
12347,0,0.0968485687295479,0
3935,1,0.2270205497040579,0
81692,1,0.5990076710525357,1
13311,1,0.8878920765744921,1
57318,1,0.10050366334279687,0
71951,0,0.1381789131982711,0
75730,0,0.12429038527428472,0
16993,0,0.11202354518534575,0
76184,0,0.12268499109210416,0
13248,0,0.08414457939833186,0
63223,0,0.0551231779683556,0
23659,0,0.13002369381407908,0
10212,0,0.06785716786120741,0
